fips,county,state,income-2015,income-1989a,income-1989b,change
31113,Logan County,NE,51098,21390,39490.97561,22.71522249
31115,Loup County,NE,52862,19014,35104.32025,33.59252345
31117,McPherson County,NE,57175,21793,40235.00848,29.62831922
31119,Madison County,NE,51330,26060,48112.89502,6.267494612
31121,Merrick County,NE,51219,26200,48371.36797,5.559718123
31123,Morrill County,NE,49082,20900,38586.32025,21.38396916
31125,Nance County,NE,46958,21861,40360.55249,14.04967739
31127,Nemaha County,NE,52034,23392,43187.13892,17.00207764
31129,Nuckolls County,NE,41956,22650,41817.23224,0.33074593
31131,Otoe County,NE,53015,24954,46070.95864,13.09825777
31133,Pawnee County,NE,43646,18258,33708.56628,22.76825762
31135,Perkins County,NE,58066,26348,48644.61082,16.22531117
31137,Phelps County,NE,55566,28551,52711.86744,5.136472943
31139,Pierce County,NE,56744,23982,44276.41782,21.97163081
31141,Platte County,NE,58554,28903,53361.74231,8.867468812
31143,Polk County,NE,61965,24301,44865.36691,27.59563154
31145,Red Willow County,NE,49308,23577,43528.69247,11.72083136
31147,Richardson County,NE,44648,18994,35067.39555,21.45808201
31149,Rock County,NE,51447,20978,38730.32662,24.71800762
31151,Saline County,NE,55850,25804,47640.25875,14.69962623
31153,Sarpy County,NE,73856,35475,65495.20148,11.32040527
31155,Saunders County,NE,61025,26656,49213.25133,19.3555898
31157,Scotts Bluff County,NE,43428,22114,40827.65005,5.98772669
31159,Seward County,NE,62455,29334,54157.46978,13.285614
31161,Sheridan County,NE,47005,22118,40835.03499,13.12618871
31163,Sherman County,NE,42643,20454,37762.89926,11.44408401
31165,Sioux County,NE,55606,19503,36007.12937,35.24596379
31167,Stanton County,NE,56423,26377,48698.15164,13.69095645
31169,Thayer County,NE,48947,23558,43493.614,11.1414101
31171,Thomas County,NE,48754,21814,40273.77943,17.39389706
31173,Thurston County,NE,42290,18623,34382.44221,18.69841049
31175,Valley County,NE,49929,21542,39771.60339,20.34368124
31177,Washington County,NE,68435,31626,58389.04136,14.67956257
31179,Wayne County,NE,54503,24017,44341.03606,18.64477909
31181,Webster County,NE,40444,20718,38250.30541,5.424029749
31183,Wheeler County,NE,55106,24314,44889.36797,18.53996303
31185,York County,NE,59500,27803,51330.88335,13.72960781
32000,Nevada,NV,52544,31797,58704.74761,-11.72493075
32001,Churchill County,NV,54134,26846,49564.03606,8.441947657
32003,Clark County,NV,51624,28249,52154.30435,-1.027243816
32005,Douglas County,NV,63620,33902,62591.07317,1.617300895
32007,Elko County,NV,76518,35001,64620.0859,15.54917027
32009,Esmeralda County,NV,49057,28824,53215.88971,-8.477668251
32011,Eureka County,NV,65459,29916,55231.97879,15.62355247
32013,Humboldt County,NV,68060,31601,58342.88547,14.27727671
32015,Lander County,NV,76713,44142,81496.52386,-6.23561047
32017,Lincoln County,NV,51788,28492,52602.93955,-1.573606926
32019,Lyon County,NV,51934,26383,48709.22906,6.2093637
32021,Mineral County,NV,42164,28509,52634.32556,-24.83238202
32023,Nye County,NV,43819,32126,59312.15907,-35.3571717
32027,Pershing County,NV,54416,30323,55983.39661,-2.880396587
32029,Storey County,NV,61594,29070,53670.06363,12.86478614
32031,Washoe County,NV,56457,30472,56258.48568,0.351620377
32033,White Pine County,NV,54975,31065,57353.30329,-4.326154229
32510,Carson City,NV,47015,29610,54667.03075,-16.27572212
33000,New Hampshire,NH,70003,32972,60874.07423,13.04076364
33001,Belknap County,NH,63377,30432,56184.63627,11.34853927
33003,Carroll County,NH,54351,27472,50719.77943,6.68105568
33005,Cheshire County,NH,60339,31473,58106.56734,3.699817136
33007,Coos County,NH,40286,25473,47029.15483,-16.73820887
33009,Grafton County,NH,57827,30507,56323.10392,2.600681475
33011,Hillsborough County,NH,73474,39572,73059.228,0.564515345
33013,Merrimack County,NH,68148,34346,63410.8017,6.951338709
33015,Rockingham County,NH,87103,40455,74689.45387,14.25157128
33017,Strafford County,NH,60931,32299,59631.55779,2.132645461
33019,Sullivan County,NH,53804,28678,52946.33934,1.594046274
34000,New Jersey,NJ,72337,38123,70384.03287,2.699817695
34001,Atlantic County,NJ,53296,30751,56773.58537,-6.525040089
34003,Bergen County,NJ,88512,46039,84998.83245,3.969142659
34005,Burlington County,NJ,74844,40513,74796.53552,0.063417876
34007,Camden County,NJ,63589,34271,63272.33404,0.497988582
34009,Cape May County,NJ,55632,26310,48574.45387,12.68612692
34011,Cumberland County,NJ,50259,27272,50350.53234,-0.182121299
34013,Essex County,NJ,52206,30321,55979.70414,-7.228487407
34015,Gloucester County,NJ,76780,35801,66097.07423,13.91368295
34017,Hudson County,NJ,60053,26656,49213.25133,18.05030336
34019,Hunterdon County,NJ,102797,51597,95260.20891,7.331722805
34021,Mercer County,NJ,72172,37160,68606.10817,4.940824467
34023,Middlesex County,NJ,78249,41896,77349.87911,1.149050966
34025,Monmouth County,NJ,86722,41450,76526.45811,11.75658067
34027,Morris County,NJ,101754,54934,101421.0965,0.327165025
34029,Ocean County,NJ,63478,29162,53839.91729,15.18334339
34031,Passaic County,NJ,55723,31259,57711.47296,-3.568495879
34033,Salem County,NJ,63988,31887,58870.9088,7.996954426
34035,Somerset County,NJ,99059,52385,96715.04242,2.366223748
34037,Sussex County,NJ,84431,45760,84483.73277,-0.062456642
34039,Union County,NJ,70581,39766,73417.39767,-4.018641939
34041,Warren County,NJ,71672,37075,68449.17815,4.496626082
35000,New Mexico,NM,45524,23570,43515.76882,4.411368019
35001,Bernalillo County,NM,47870,26324,48600.30117,-1.525592577
35003,Catron County,NM,36570,17211,31775.55779,13.11031503
35005,Chaves County,NM,39265,20541,37923.52174,3.41647335
35006,Cibola County,NM,35580,.,null,null
35007,Colfax County,NM,37269,18612,34362.13362,7.799689779
35009,Curry County,NM,41879,20834,38464.46872,8.153325732
35011,DeBaca County,NM,33427,14112,26054.07423,22.0567977
35013,Dona Ana County,NM,39421,19462,35931.43372,8.852049105
35015,Eddy County,NM,60407,23311,43037.59385,28.75396254
35017,Grant County,NM,39792,21292,39310.04454,1.211186825
35019,Guadalupe County,NM,31710,13228,24422.00212,22.98327934
35021,Harding County,NM,39561,17352,32035.87699,19.02156925
35023,Hidalgo County,NM,34336,20516,37877.36585,-10.31385675
35025,Lea County,NM,54686,23825,43986.55885,19.56522903
35027,Lincoln County,NM,40297,19684,36341.29799,9.816368501
35028,Los Alamos County,NM,107126,59041,109003.5854,-1.752688764
35029,Luna County,NM,27151,13591,25092.18558,7.582830916
35031,McKinley County,NM,29040,15879,29316.37222,-0.95169496
35033,Mora County,NM,31816,11570,21360.9438,32.86100139
35035,Otero County,NM,38381,22574,41676.91835,-8.587369651
35037,Quay County,NM,29047,18948,34982.46872,-20.43401631
35039,Rio Arriba County,NM,37319,17306,31950.95016,14.38422745
35041,Roosevelt County,NM,38053,16568,30588.42842,19.61624991
35043,Sandoval County,NM,62833,25755,47549.79321,24.32353506
35045,San Juan County,NM,49173,22735,41974.16225,14.6398181
35047,San Miguel County,NM,32303,14886,27483.06045,14.92102763
35049,Santa Fe County,NM,55247,26603,49115.40085,11.09851965
35051,Sierra County,NM,29432,12885,23788.74337,19.1738809
35053,Socorro County,NM,33673,17613,32517.74443,3.430806781
35055,Taos County,NM,37092,15810,29188.98197,21.30652978
35057,Torrance County,NM,35950,17078,31530.00848,12.29483037
35059,Union County,NM,36715,19293,35619.41994,2.984012158
35061,Valencia County,NM,42395,22121,40840.5737,3.666532136
36000,New York,NY,60805,31229,57656.0859,5.178709159
36001,Albany County,NY,57312,32283,59602.01803,-3.995704264
36003,Allegany County,NY,44331,23625,43617.31177,1.609907805
36005,Bronx County,NY,35102,19881,36705.00636,-4.566709483
36007,Broome County,NY,46067,29139,53797.45387,-16.78089277
36009,Cattaraugus County,NY,40933,24119,44529.35207,-8.785947934
36011,Cayuga County,NY,51925,26625,49156.01803,5.332656663
36013,Chautauqua County,NY,43973,24065,44429.65536,-1.038490336
36015,Chemung County,NY,51285,26487,48901.23754,4.648069533
36017,Chenango County,NY,49082,24948,46059.88123,6.157285298
36019,Clinton County,NY,46747,26027,48051.96925,-2.791557206
36021,Columbia County,NY,58335,27246,50302.53022,13.76955477
36023,Cortland County,NY,49894,26157,48291.97985,3.210847293
36025,Delaware County,NY,42907,23038,42533.57158,0.870320507
36027,Dutchess County,NY,71348,40134,74096.8123,-3.852683048
36029,Erie County,NY,52176,26226,48419.3701,7.19991932
36031,Essex County,NY,52282,23970,44254.26299,15.35468614
36033,Franklin County,NY,45682,21456,39612.82715,13.28569864
36035,Fulton County,NY,46543,23265,42952.66702,7.714012805
36037,Genesee County,NY,53771,29534,54526.71686,-1.405435757
36039,Greene County,NY,48144,25287,46685.75504,3.028923569
36041,Hamilton County,NY,47997,23121,42686.80912,11.06358914
36043,Herkimer County,NY,49504,24070,44438.88653,10.23172565
36045,Jefferson County,NY,50179,24250,44771.20891,10.77700052
36047,Kings County,NY,51026,21968,40558.09968,20.5148362
36049,Lewis County,NY,50846,26142,48264.28632,5.077515792
36051,Livingston County,NY,53945,30744,56760.66172,-5.219504529
36053,Madison County,NY,58094,29252,54006.07847,7.036736198
36055,Monroe County,NY,54204,34491,63678.50583,-17.47934808
36057,Montgomery County,NY,44414,24066,44431.50159,-0.039405572
36059,Nassau County,NY,101568,48820,90133.21315,11.25825737
36061,New York County,NY,75136,27667,51079.79533,32.01688227
36063,Niagara County,NY,48517,27050,49940.66808,-2.934369562
36065,Oneida County,NY,47390,26415,48768.30859,-2.908437623
36067,Onondaga County,NY,57114,31761,58638.28314,-2.668843259
36069,Ontario County,NY,58085,32026,59127.53552,-1.794844667
36071,Orange County,NY,71162,35818,66128.46023,7.073353428
36073,Orleans County,NY,48126,27423,50629.31389,-5.201583119
36075,Oswego County,NY,49391,29242,53987.61612,-9.306586461
36077,Otsego County,NY,47942,24032,44368.72959,7.453319456
36079,Putnam County,NY,90497,48978,90424.91835,0.079650877
36081,Queens County,NY,60241,30900,57048.67444,5.299257245
36083,Rensselaer County,NY,60117,29881,55167.36055,8.23334406
36085,Richmond County,NY,71058,41331,76306.7561,-7.386580114
36087,Rockland County,NY,84249,46458,85772.40509,-1.808217415
36089,St. Lawrence County,NY,42811,24095,44485.04242,-3.910309074
36091,Saratoga County,NY,75029,35392,65341.96394,12.9110558
36093,Schenectady County,NY,59432,30200,55756.30965,6.184699068
36095,Schoharie County,NY,50588,23996,44302.26511,12.42534769
36097,Schuyler County,NY,49664,24702,45605.70732,8.171497831
36099,Seneca County,NY,49813,27810,51343.807,-3.07310742
36101,Steuben County,NY,47352,27042,49925.8982,-5.435669448
36103,Suffolk County,NY,87634,43339,80013.99682,8.695258896
36105,Sullivan County,NY,49161,24598,45413.69883,7.622508018
36107,Tioga County,NY,57541,30365,56060.93849,2.57218593
36109,Tompkins County,NY,55839,28235,52128.45705,6.645074138
36111,Ulster County,NY,58328,30706,56690.50477,2.807391352
36113,Warren County,NY,54492,28304,52255.8473,4.103634853
36115,Washington County,NY,51188,26354,48655.68823,4.9470809
36117,Wayne County,NY,51273,32491,59986.03499,-16.99341758
36119,Westchester County,NY,85688,42303,78101.29692,8.853868774
36121,Wyoming County,NY,52796,27993,51681.66808,2.110637017
36123,Yates County,NY,46392,23651,43665.31389,5.877492042
37000,North Carolina,NC,47884,26247,48458.14104,-1.199024808
37001,Alamance County,NC,41566,26574,49061.86002,-18.03363331
37003,Alexander County,NC,41092,27270,50346.83987,-22.52224246
37005,Alleghany County,NC,36113,18763,34640.91516,4.076329398
37007,Anson County,NC,35307,20032,36983.78791,-4.749165635
37009,Ashe County,NC,35238,18923,34936.31283,0.856141576
37011,Avery County,NC,37120,19688,36348.68293,2.077901598
37013,Beaufort County,NC,41725,20365,37598.58431,9.889552294
37015,Bertie County,NC,31967,15849,29260.98515,8.465025952
37017,Bladen County,NC,33882,18140,33490.7105,1.154859517
37019,Brunswick County,NC,48831,21491,39677.44539,18.74537612
37021,Buncombe County,NC,45094,25003,46161.42418,-2.367109101
37023,Burke County,NC,42711,24559,45341.69565,-6.159293044
37025,Cabarrus County,NC,57881,27946,51594.89502,10.86039458
37027,Caldwell County,NC,39636,24343,44942.9088,-13.38911293
37029,Camden County,NC,62000,23764,43873.93849,29.23558307
37031,Carteret County,NC,50837,23610,43589.61824,14.25611614
37033,Caswell County,NC,40504,22159,40910.73065,-1.004174024
37035,Catawba County,NC,41745,28408,52447.85578,-25.6386532
37037,Chatham County,NC,58860,26855,49580.65217,15.76511693
37039,Cherokee County,NC,38284,18066,33354.08908,12.8772096
37041,Chowan County,NC,40794,20044,37005.94274,9.28581964
37043,Clay County,NC,38980,18430,34026.11877,12.70877689
37045,Cleveland County,NC,40237,24799,45784.79215,-13.78778774
37047,Columbus County,NC,34478,18538,34225.5122,0.732315694
37049,Craven County,NC,47805,23427,43251.75716,9.524616341
37051,Cumberland County,NC,42380,23108,42662.80806,-0.667314911
37053,Currituck County,NC,66426,25700,47448.25027,28.56976144
37055,Dare County,NC,53585,26041,48077.81654,10.27747216
37057,Davidson County,NC,46400,26119,48221.82291,-3.926342469
37059,Davie County,NC,52525,29696,54825.807,-4.380403615
37061,Duplin County,NC,38397,19312,35654.49841,7.142489233
37063,Durham County,NC,53875,29184,53880.53446,-0.010272788
37065,Edgecombe County,NC,32529,20412,37685.35737,-15.85157051
37067,Forsyth County,NC,47346,30659,56603.73171,-19.55335553
37069,Franklin County,NC,48009,21506,39705.13892,17.2964675
37071,Gaston County,NC,45031,27259,50326.53128,-11.75974614
37073,Gates County,NC,46387,22637,41793.23118,9.903138429
37075,Graham County,NC,33827,16219,29944.09226,11.47872333
37077,Granville County,NC,50314,22879,42240.02015,16.04718339
37079,Greene County,NC,35060,22841,42169.8632,-20.27913064
37081,Guilford County,NC,48283,28612,52824.4878,-9.405976855
37083,Halifax County,NC,31952,17345,32022.95334,-0.222062282
37085,Harnett County,NC,48301,21796,40240.54719,16.68796259
37087,Haywood County,NC,43573,23000,42463.41463,2.546497523
37089,Henderson County,NC,47280,25621,47302.39767,-0.047372392
37091,Hertford County,NC,34453,18450,34063.04348,1.1318507
37093,Hoke County,NC,42819,20290,37460.11665,12.51519968
37095,Hyde County,NC,37074,16736,30898.59597,16.65696723
37097,Iredell County,NC,55848,26740,49368.3351,11.60232219
37099,Jackson County,NC,41537,22061,40729.79958,1.943328657
37101,Johnston County,NC,52681,23110,42666.50053,19.00969889
37103,Jones County,NC,39688,19499,35999.74443,9.293125296
37105,Lee County,NC,44294,24782,45753.40615,-3.294816794
37107,Lenoir County,NC,37085,20605,38041.68081,-2.579697468
37109,Lincoln County,NC,49343,28540,52691.55885,-6.786289554
37111,McDowell County,NC,37430,22778,42053.55037,-12.3525257
37113,Macon County,NC,41395,19570,36130.82715,12.71692922
37115,Madison County,NC,37899,18768,34650.14634,8.572399426
37117,Martin County,NC,36543,22235,41051.04454,-12.33627381
37119,Mecklenburg County,NC,57029,32248,59537.39979,-4.398463568
37121,Mitchell County,NC,39955,21290,39306.35207,1.623446207
37123,Montgomery County,NC,39096,21294,39313.73701,-0.556929122
37125,Moore County,NC,52139,26458,48847.69671,6.312555453
37127,Nash County,NC,43450,23968,44250.57052,-1.842509827
37129,New Hanover County,NC,52456,26677,49252.02227,6.107933755
37131,Northampton County,NC,33301,16862,31131.22163,6.515655286
37133,Onslow County,NC,46144,21570,39823.29799,13.69777656
37135,Orange County,NC,61570,29915,55230.13256,10.29700738
37137,Pamlico County,NC,41004,19730,36426.22481,11.16421614
37139,Pasquotank County,NC,42171,21915,40460.2492,4.056699617
37141,Pender County,NC,49390,21293,39311.89077,20.40516142
37143,Perquimans County,NC,42337,18771,34655.68505,18.14326701
37145,Person County,NC,43917,23983,44278.26405,-0.822606396
37147,Pitt County,NC,41909,22644,41806.15483,0.245401167
37149,Polk County,NC,45672,24695,45592.78367,0.173446161
37151,Randolph County,NC,43216,26991,49831.74019,-15.30854357
37153,Richmond County,NC,33017,21314,39350.66172,-19.18303213
37155,Robeson County,NC,32128,18083,33385.47508,-3.913953808
37157,Rockingham County,NC,40148,24272,44811.82609,-11.61658386
37159,Rowan County,NC,44862,25468,47019.92365,-4.810136971
37161,Rutherford County,NC,36998,23118,42681.27041,-15.36102063
37163,Sampson County,NC,40660,19911,36760.39343,9.590768752
37165,Scotland County,NC,35447,22535,41604.91516,-17.37217582
37167,Stanly County,NC,44878,25566,47200.85472,-5.175931902
37169,Stokes County,NC,42889,28445,52516.16649,-22.44670309
37171,Surry County,NC,38408,22910,42297.25345,-10.12615457
37173,Swain County,NC,36103,15756,29089.28526,19.42695826
37175,Transylvania County,NC,45792,27553,50869.3245,-11.08779808
37177,Tyrrell County,NC,33759,16590,30629.0456,9.271466574
37179,Union County,NC,71690,31058,57340.37964,20.01620918
37181,Vance County,NC,32698,19695,36361.60657,-11.20437511
37183,Wake County,NC,70629,34180,63104.32662,10.65380139
37185,Warren County,NC,34149,16222,29949.63097,12.29719475
37187,Washington County,NC,35146,21709,40079.92471,-14.03836769
37189,Watauga County,NC,41762,21782,40214.69989,3.705043116
37191,Wayne County,NC,41161,21879,40393.78473,1.863937393
37193,Wilkes County,NC,40647,23708,43770.54931,-7.684575272
37195,Wilson County,NC,41276,23066,42585.26617,-3.17197929
37197,Yadkin County,NC,41208,25606,47274.70414,-14.72215137
37199,Yancey County,NC,36418,20410,37681.6649,-3.469890986
38000,North Dakota,ND,61674,23910,44143.48887,28.42447569
38001,Adams County,ND,48106,20937,38654.63097,19.64696511
38003,Barnes County,ND,51053,20984,38741.40403,24.11532323
38005,Benson County,ND,39969,16868,31142.29905,22.08386738
38007,Billings County,ND,76913,28496,52610.3245,31.59761744
38009,Bottineau County,ND,56645,22365,41291.05514,27.1055607
38011,Bowman County,ND,62892,22797,42088.62884,33.07792908
38013,Burke County,ND,68477,19360,35743.11771,47.80274003
38015,Burleigh County,ND,66057,29278,54054.08059,18.17054878
38017,Cass County,ND,55946,27912,51532.12301,7.889530955
38019,Cavalier County,ND,57200,21853,40345.78261,29.46541502
38021,Dickey County,ND,56325,20751,38311.23118,31.98183546
38023,Divide County,ND,62922,20499,37845.97985,39.85254783
38025,Dunn County,ND,73135,19203,35453.25875,51.52354037
38027,Eddy County,ND,47804,19537,36069.90138,24.54626939
38029,Emmons County,ND,46952,18282,33752.87593,28.11195279
38031,Foster County,ND,53408,21522,39734.67869,25.60163518
38033,Golden Valley County,ND,56948,21728,40115.00318,29.55853905
38035,Grand Forks County,ND,52022,25685,47420.55673,8.845187163
38037,Grant County,ND,40879,15937,29423.45387,28.02305861
38039,Griggs County,ND,47222,19877,36697.62142,22.28702422
38041,Hettinger County,ND,53403,17699,32676.52068,38.81145127
38043,Kidder County,ND,46800,19234,35510.49205,24.12288024
38045,LaMoure County,ND,58638,21057,38876.17922,33.70138952
38047,Logan County,ND,50047,17436,32190.96076,35.67854064
38049,McHenry County,ND,56351,17844,32944.22481,41.53746195
38051,McIntosh County,ND,48494,16762,30946.59809,36.18468658
38053,McKenzie County,ND,82906,25317,46741.1421,43.62152064
38055,McLean County,ND,62480,22848,42182.78685,32.48593654
38057,Mercer County,ND,75698,33372,61612.5684,18.60740258
38059,Morton County,ND,64260,23959,44233.9544,31.16409212
38061,Mountrail County,ND,65606,20503,37853.36479,42.30197727
38063,Nelson County,ND,48196,19366,35754.19512,25.81501552
38065,Oliver County,ND,65798,28602,52806.02545,19.74524233
38067,Pembina County,ND,58683,25561,47191.62354,19.58212167
38069,Pierce County,ND,43419,20579,37993.67869,12.49527008
38071,Ramsey County,ND,51607,22448,41444.29268,19.69249776
38073,Ransom County,ND,60122,23014,42489.26193,29.32826265
38075,Renville County,ND,65651,21441,39585.13362,39.70368522
38077,Richland County,ND,56942,26532,48984.31813,13.97506562
38079,Rolette County,ND,37634,16848,31105.37434,17.34767939
38081,Sargent County,ND,58626,27928,51561.66278,12.04983663
38083,Sheridan County,ND,38234,16657,30752.74337,19.56702576
38085,Sioux County,ND,32895,16294,30082.55992,8.54974946
38087,Slope County,ND,56833,20689,38196.76458,32.79122239
38089,Stark County,ND,76844,24344,44944.75504,41.51169247
38091,Steele County,ND,61352,23114,42673.88547,30.44418198
38093,Stutsman County,ND,54925,23128,42699.73277,22.25811057
38095,Towner County,ND,51561,20207,37306.87911,27.64515989
38097,Traill County,ND,54814,24596,45410.00636,17.15618936
38099,Walsh County,ND,51749,22203,40991.96501,20.78694273
38101,Ward County,ND,61170,25255,46626.6755,23.77525666
38103,Wells County,ND,51857,18966,35015.70095,32.47642371
38105,Williams County,ND,89860,26078,48146.12725,46.42095788
39000,Ohio,OH,51086,28626,52850.3351,-3.453656776
39001,Adams County,OH,36609,17910,33066.07635,9.677739485
39003,Allen County,OH,49297,27967,51633.66596,-4.739975982
39005,Ashland County,OH,48338,27147,50119.75292,-3.686029451
39007,Ashtabula County,OH,44258,24326,44911.5228,-1.476620723
